               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.028753,            0.015753,            0.011102,             0.91351,             0.88947,             0.94941,             0.57968,            0.013985,            0.010404,           0.0028571,           0.0033326,           0.0033326,            0.070007
                   1,            0.021479,           0.0094059,           0.0027927,             0.96271,             0.95372,             0.98243,             0.66028,            0.011899,           0.0089906,           0.0011078,           0.0066513,           0.0066513,            0.039992
                   2,            0.019392,           0.0091873,           0.0021602,             0.96213,             0.95741,             0.98318,              0.6747,            0.011488,           0.0087473,          0.00090721,           0.0099119,           0.0099119,           0.0099193
                   3,            0.016461,           0.0081931,           0.0014424,             0.97766,             0.97911,             0.99157,             0.74166,           0.0093506,           0.0075509,          0.00041452,           0.0098042,           0.0098042,           0.0098042
                   4,            0.014267,           0.0075408,          0.00094945,              0.9848,             0.98245,             0.99457,             0.77037,           0.0085418,            0.007037,          0.00031357,           0.0098042,           0.0098042,           0.0098042
                   5,            0.013168,           0.0071539,          0.00081897,             0.98477,              0.9849,             0.99459,             0.78873,           0.0080511,           0.0067315,          0.00023709,           0.0096542,           0.0096542,           0.0096542
                   6,            0.012526,           0.0069223,          0.00073009,             0.98511,             0.98871,             0.99527,             0.80822,           0.0075044,           0.0063783,          0.00021543,           0.0094641,           0.0094641,           0.0094641
                   7,            0.011591,           0.0066362,          0.00058422,             0.99012,             0.98895,             0.99558,             0.82598,           0.0069844,            0.005961,          0.00017719,           0.0092361,           0.0092361,           0.0092361
                   8,            0.011552,           0.0065584,          0.00071132,             0.98994,             0.98752,             0.99557,             0.83104,           0.0069139,             0.00596,          0.00017308,           0.0089726,           0.0089726,           0.0089726
                   9,            0.010927,           0.0062769,          0.00048642,             0.98915,             0.99209,             0.99578,             0.84261,            0.006566,           0.0056743,          0.00015325,           0.0086765,           0.0086765,           0.0086765
                  10,            0.010465,           0.0061239,          0.00047003,             0.98882,             0.99243,             0.99586,             0.85282,           0.0062515,           0.0054635,          0.00015006,           0.0083511,           0.0083511,           0.0083511
                  11,             0.01025,           0.0060469,          0.00048406,             0.99155,             0.99227,             0.99595,             0.85817,           0.0060642,           0.0053709,          0.00014233,               0.008,               0.008,               0.008
                  12,           0.0099159,           0.0058676,          0.00042894,             0.99188,             0.99314,             0.99602,              0.8649,            0.005832,           0.0051599,          0.00012605,           0.0076269,           0.0076269,           0.0076269
                  13,            0.009556,            0.005737,          0.00039314,             0.99285,             0.99285,             0.99609,             0.87428,           0.0055891,           0.0049831,          0.00012061,           0.0072361,           0.0072361,           0.0072361
                  14,           0.0091945,           0.0055821,          0.00041409,             0.99198,             0.99386,             0.99614,             0.87742,            0.005484,           0.0049138,          0.00011938,           0.0068316,           0.0068316,           0.0068316
                  15,           0.0089589,            0.005526,          0.00034898,             0.99448,             0.99334,             0.99621,             0.88284,           0.0053044,             0.00475,          0.00010807,           0.0064181,           0.0064181,           0.0064181
                  16,           0.0085889,           0.0053396,          0.00034226,             0.99368,             0.99408,              0.9962,             0.88628,             0.00518,           0.0046504,          0.00010514,               0.006,               0.006,               0.006
                  17,           0.0083561,           0.0052242,          0.00034141,             0.99349,             0.99508,             0.99625,             0.89026,           0.0050164,           0.0045266,          9.9671e-05,           0.0055819,           0.0055819,           0.0055819
                  18,            0.008026,           0.0050834,          0.00028347,             0.99399,             0.99533,             0.99624,             0.89522,             0.00489,           0.0044374,          9.4458e-05,           0.0051684,           0.0051684,           0.0051684
                  19,           0.0078078,           0.0050334,          0.00029311,             0.99418,             0.99527,             0.99629,             0.89871,           0.0048087,           0.0043704,          8.9764e-05,           0.0047639,           0.0047639,           0.0047639
                  20,           0.0075844,           0.0048937,          0.00025143,             0.99414,             0.99625,             0.99631,             0.90155,           0.0047221,           0.0042977,          8.4953e-05,           0.0043731,           0.0043731,           0.0043731
                  21,           0.0072894,           0.0048094,          0.00026465,             0.99432,             0.99627,             0.99632,             0.90387,           0.0046542,           0.0042378,           8.044e-05,               0.004,               0.004,               0.004
                  22,           0.0070187,           0.0047089,          0.00022185,             0.99417,             0.99626,             0.99635,             0.90563,             0.00459,           0.0041831,          7.6404e-05,           0.0036489,           0.0036489,           0.0036489
                  23,           0.0068972,            0.004604,           0.0002494,             0.99492,             0.99582,             0.99637,             0.90805,           0.0045295,           0.0041294,          7.3298e-05,           0.0033235,           0.0033235,           0.0033235
